"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 27 04:22:44 GMT 2021","Mon Dec 27 04:22:45 GMT 2021","481","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"passed","Mon Dec 27 04:22:42 GMT 2021","Mon Dec 27 04:22:43 GMT 2021","414","","SEO Friendly","","","","Have at least 2 H2 elements",""
"passed","Mon Dec 27 04:22:43 GMT 2021","Mon Dec 27 04:22:44 GMT 2021","1041","","SEO Friendly","","","","All images have alt tags",""
"passed","Mon Dec 27 04:21:43 GMT 2021","Mon Dec 27 04:21:44 GMT 2021","695","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"passed","Mon Dec 27 04:21:48 GMT 2021","Mon Dec 27 04:21:49 GMT 2021","1541","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"failed","Mon Dec 27 04:21:41 GMT 2021","Mon Dec 27 04:21:43 GMT 2021","1733","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
"passed","Mon Dec 27 04:21:55 GMT 2021","Mon Dec 27 04:22:27 GMT 2021","32346","","Performance with lighthouse","","","","Check the performance",""
"passed","Mon Dec 27 04:22:35 GMT 2021","Mon Dec 27 04:22:35 GMT 2021","565","","Schema definition and robots.txt","","","","Have a robots.txt",""
"passed","Mon Dec 27 04:22:32 GMT 2021","Mon Dec 27 04:22:34 GMT 2021","2356","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"passed","Mon Dec 27 04:22:49 GMT 2021","Mon Dec 27 04:24:55 GMT 2021","125800","","Link valid and working","","","","Links are valid and working",""
"failed","Mon Dec 27 04:21:44 GMT 2021","Mon Dec 27 04:21:45 GMT 2021","1001","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Mon Dec 27 04:22:45 GMT 2021","Mon Dec 27 04:22:45 GMT 2021","338","","SEO Friendly","","","","All canonicals are valid",""
"passed","Mon Dec 27 04:21:37 GMT 2021","Mon Dec 27 04:21:41 GMT 2021","3504","","Menu on top","","","","Show the menu on top",""
"passed","Mon Dec 27 04:21:43 GMT 2021","Mon Dec 27 04:21:43 GMT 2021","655","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"passed","Mon Dec 27 04:21:49 GMT 2021","Mon Dec 27 04:21:51 GMT 2021","1831","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"passed","Mon Dec 27 04:22:44 GMT 2021","Mon Dec 27 04:22:44 GMT 2021","479","","SEO Friendly","","","","Have one heading with a title and meta description",""
"failed","Mon Dec 27 04:21:45 GMT 2021","Mon Dec 27 04:21:46 GMT 2021","1335","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"passed","Mon Dec 27 04:21:46 GMT 2021","Mon Dec 27 04:21:48 GMT 2021","1248","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"passed","Mon Dec 27 04:22:40 GMT 2021","Mon Dec 27 04:22:42 GMT 2021","2039","","SEO Friendly","","","","Have only one h1 element",""
"passed","Mon Dec 27 04:22:45 GMT 2021","Mon Dec 27 04:22:46 GMT 2021","372","","SEO Friendly","","","","HTML has a lang attribute set",""
