"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 05 04:19:35 GMT 2022","Wed Jan 05 04:19:36 GMT 2022","1008","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"passed","Wed Jan 05 04:20:30 GMT 2022","Wed Jan 05 04:20:31 GMT 2022","1454","","SEO Friendly","","","","All images have alt tags",""
"passed","Wed Jan 05 04:19:34 GMT 2022","Wed Jan 05 04:19:35 GMT 2022","784","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"passed","Wed Jan 05 04:19:36 GMT 2022","Wed Jan 05 04:19:37 GMT 2022","747","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"passed","Wed Jan 05 04:19:34 GMT 2022","Wed Jan 05 04:19:34 GMT 2022","790","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"passed","Wed Jan 05 04:20:32 GMT 2022","Wed Jan 05 04:20:33 GMT 2022","523","","SEO Friendly","","","","Have one heading with a title and meta description",""
"failed","Wed Jan 05 04:19:32 GMT 2022","Wed Jan 05 04:19:34 GMT 2022","1145","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Wed Jan 05 04:19:31 GMT 2022","Wed Jan 05 04:19:32 GMT 2022","837","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"passed","Wed Jan 05 04:20:33 GMT 2022","Wed Jan 05 04:20:33 GMT 2022","592","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"passed","Wed Jan 05 04:20:33 GMT 2022","Wed Jan 05 04:20:34 GMT 2022","381","","SEO Friendly","","","","All canonicals are valid",""
"passed","Wed Jan 05 04:19:41 GMT 2022","Wed Jan 05 04:20:15 GMT 2022","33820","","Performance with lighthouse","","","","Check the performance",""
"failed","Wed Jan 05 04:19:29 GMT 2022","Wed Jan 05 04:19:31 GMT 2022","1428","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
"passed","Wed Jan 05 04:20:34 GMT 2022","Wed Jan 05 04:20:34 GMT 2022","462","","SEO Friendly","","","","HTML has a lang attribute set",""
"passed","Wed Jan 05 04:20:38 GMT 2022","Wed Jan 05 04:22:13 GMT 2022","95073","","Link valid and working","","","","Links are valid and working",""
"passed","Wed Jan 05 04:19:27 GMT 2022","Wed Jan 05 04:19:29 GMT 2022","2204","","Menu on top","","","","Show the menu on top",""
"passed","Wed Jan 05 04:20:28 GMT 2022","Wed Jan 05 04:20:29 GMT 2022","988","","SEO Friendly","","","","Have only one h1 element",""
"passed","Wed Jan 05 04:20:23 GMT 2022","Wed Jan 05 04:20:24 GMT 2022","454","","Schema definition and robots.txt","","","","Have a robots.txt",""
"passed","Wed Jan 05 04:19:32 GMT 2022","Wed Jan 05 04:19:32 GMT 2022","775","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"passed","Wed Jan 05 04:20:29 GMT 2022","Wed Jan 05 04:20:30 GMT 2022","632","","SEO Friendly","","","","Have at least 2 H2 elements",""
"passed","Wed Jan 05 04:20:20 GMT 2022","Wed Jan 05 04:20:23 GMT 2022","3491","","Schema definition and robots.txt","","","","Have a robots meta tag",""
