"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 07 04:17:49 GMT 2022","Mon Feb 07 04:17:50 GMT 2022","894","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Mon Feb 07 04:17:59 GMT 2022","Mon Feb 07 04:18:27 GMT 2022","27866","","Performance with lighthouse","","","","Check the performance",""
"passed","Mon Feb 07 04:18:37 GMT 2022","Mon Feb 07 04:18:38 GMT 2022","460","","SEO Friendly","","","","Have at least 2 H2 elements",""
"failed","Mon Feb 07 04:17:50 GMT 2022","Mon Feb 07 04:17:51 GMT 2022","843","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"failed","Mon Feb 07 04:17:47 GMT 2022","Mon Feb 07 04:17:48 GMT 2022","1024","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"passed","Mon Feb 07 04:18:31 GMT 2022","Mon Feb 07 04:18:32 GMT 2022","1040","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"passed","Mon Feb 07 04:18:38 GMT 2022","Mon Feb 07 04:18:39 GMT 2022","1077","","SEO Friendly","","","","All images have alt tags",""
"failed","Mon Feb 07 04:17:49 GMT 2022","Mon Feb 07 04:17:49 GMT 2022","819","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"failed","Mon Feb 07 04:17:52 GMT 2022","Mon Feb 07 04:17:54 GMT 2022","2263","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"failed","Mon Feb 07 04:17:46 GMT 2022","Mon Feb 07 04:17:47 GMT 2022","993","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
"failed","Mon Feb 07 04:18:39 GMT 2022","Mon Feb 07 04:20:00 GMT 2022","80521","","SEO Friendly","","","","Have one heading with a title and meta description",""
"passed","Mon Feb 07 04:18:32 GMT 2022","Mon Feb 07 04:18:33 GMT 2022","429","","Schema definition and robots.txt","","","","Have a robots.txt",""
"failed","Mon Feb 07 04:17:54 GMT 2022","Mon Feb 07 04:17:56 GMT 2022","1228","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"passed","Mon Feb 07 04:20:00 GMT 2022","Mon Feb 07 04:20:00 GMT 2022","549","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"passed","Mon Feb 07 04:20:02 GMT 2022","Mon Feb 07 04:20:03 GMT 2022","329","","SEO Friendly","","","","HTML has a lang attribute set",""
"passed","Mon Feb 07 04:20:07 GMT 2022","Mon Feb 07 04:22:31 GMT 2022","143547","","Link valid and working","","","","Links are valid and working",""
"passed","Mon Feb 07 04:20:00 GMT 2022","Mon Feb 07 04:20:02 GMT 2022","1970","","SEO Friendly","","","","All canonicals are valid",""
"passed","Mon Feb 07 04:18:36 GMT 2022","Mon Feb 07 04:18:37 GMT 2022","857","","SEO Friendly","","","","Have only one h1 element",""
"failed","Mon Feb 07 04:17:51 GMT 2022","Mon Feb 07 04:17:52 GMT 2022","959","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"passed","Mon Feb 07 04:17:44 GMT 2022","Mon Feb 07 04:17:46 GMT 2022","2243","","Menu on top","","","","Show the menu on top",""
