"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 25 04:19:30 GMT 2022","Tue Jan 25 04:19:31 GMT 2022","462","","SEO Friendly","","","","All canonicals are valid",""
"passed","Tue Jan 25 04:19:29 GMT 2022","Tue Jan 25 04:19:30 GMT 2022","398","","SEO Friendly","","","","Have one heading with a title and meta description",""
"passed","Tue Jan 25 04:19:30 GMT 2022","Tue Jan 25 04:19:30 GMT 2022","529","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"passed","Tue Jan 25 04:19:31 GMT 2022","Tue Jan 25 04:19:31 GMT 2022","358","","SEO Friendly","","","","HTML has a lang attribute set",""
"failed","Tue Jan 25 04:18:25 GMT 2022","Tue Jan 25 04:18:26 GMT 2022","1324","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
"passed","Tue Jan 25 04:18:22 GMT 2022","Tue Jan 25 04:18:25 GMT 2022","2427","","Menu on top","","","","Show the menu on top",""
"passed","Tue Jan 25 04:19:26 GMT 2022","Tue Jan 25 04:19:27 GMT 2022","1034","","SEO Friendly","","","","Have only one h1 element",""
"failed","Tue Jan 25 04:18:33 GMT 2022","Tue Jan 25 04:18:34 GMT 2022","1162","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"failed","Tue Jan 25 04:18:26 GMT 2022","Tue Jan 25 04:18:28 GMT 2022","1443","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"failed","Tue Jan 25 04:18:32 GMT 2022","Tue Jan 25 04:18:33 GMT 2022","1169","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"passed","Tue Jan 25 04:18:39 GMT 2022","Tue Jan 25 04:19:15 GMT 2022","35354","","Performance with lighthouse","","","","Check the performance",""
"passed","Tue Jan 25 04:19:36 GMT 2022","Tue Jan 25 04:21:13 GMT 2022","97056","","Link valid and working","","","","Links are valid and working",""
"passed","Tue Jan 25 04:19:27 GMT 2022","Tue Jan 25 04:19:29 GMT 2022","1774","","SEO Friendly","","","","All images have alt tags",""
"failed","Tue Jan 25 04:18:31 GMT 2022","Tue Jan 25 04:18:32 GMT 2022","1030","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"failed","Tue Jan 25 04:18:29 GMT 2022","Tue Jan 25 04:18:30 GMT 2022","1113","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Tue Jan 25 04:19:21 GMT 2022","Tue Jan 25 04:19:21 GMT 2022","397","","Schema definition and robots.txt","","","","Have a robots.txt",""
"failed","Tue Jan 25 04:18:30 GMT 2022","Tue Jan 25 04:18:31 GMT 2022","1145","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"failed","Tue Jan 25 04:18:28 GMT 2022","Tue Jan 25 04:18:29 GMT 2022","1018","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"passed","Tue Jan 25 04:19:20 GMT 2022","Tue Jan 25 04:19:21 GMT 2022","1331","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"passed","Tue Jan 25 04:19:27 GMT 2022","Tue Jan 25 04:19:27 GMT 2022","460","","SEO Friendly","","","","Have at least 2 H2 elements",""
