"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 04 04:22:01 GMT 2022","Tue Jan 04 04:22:01 GMT 2022","430","","SEO Friendly","","","","HTML has a lang attribute set",""
"failed","Tue Jan 04 04:20:38 GMT 2022","Tue Jan 04 04:21:59 GMT 2022","80740","","SEO Friendly","","","","Have one heading with a title and meta description",""
"passed","Tue Jan 04 04:20:36 GMT 2022","Tue Jan 04 04:20:37 GMT 2022","485","","SEO Friendly","","","","Have at least 2 H2 elements",""
"passed","Tue Jan 04 04:22:00 GMT 2022","Tue Jan 04 04:22:01 GMT 2022","807","","SEO Friendly","","","","All canonicals are valid",""
"passed","Tue Jan 04 04:19:40 GMT 2022","Tue Jan 04 04:19:42 GMT 2022","1853","","Menu on top","","","","Show the menu on top",""
"failed","Tue Jan 04 04:19:46 GMT 2022","Tue Jan 04 04:19:47 GMT 2022","1016","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"passed","Tue Jan 04 04:20:31 GMT 2022","Tue Jan 04 04:20:31 GMT 2022","416","","Schema definition and robots.txt","","","","Have a robots.txt",""
"passed","Tue Jan 04 04:20:28 GMT 2022","Tue Jan 04 04:20:31 GMT 2022","2685","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"passed","Tue Jan 04 04:19:54 GMT 2022","Tue Jan 04 04:20:24 GMT 2022","29406","","Performance with lighthouse","","","","Check the performance",""
"passed","Tue Jan 04 04:22:06 GMT 2022","Tue Jan 04 04:24:27 GMT 2022","141251","","Link valid and working","","","","Links are valid and working",""
"failed","Tue Jan 04 04:19:42 GMT 2022","Tue Jan 04 04:19:44 GMT 2022","1435","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
"passed","Tue Jan 04 04:20:37 GMT 2022","Tue Jan 04 04:20:38 GMT 2022","1338","","SEO Friendly","","","","All images have alt tags",""
"failed","Tue Jan 04 04:19:48 GMT 2022","Tue Jan 04 04:19:49 GMT 2022","1036","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"passed","Tue Jan 04 04:19:44 GMT 2022","Tue Jan 04 04:19:44 GMT 2022","757","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"passed","Tue Jan 04 04:19:49 GMT 2022","Tue Jan 04 04:19:50 GMT 2022","707","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"passed","Tue Jan 04 04:19:47 GMT 2022","Tue Jan 04 04:19:48 GMT 2022","713","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"passed","Tue Jan 04 04:21:59 GMT 2022","Tue Jan 04 04:22:00 GMT 2022","805","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"passed","Tue Jan 04 04:19:44 GMT 2022","Tue Jan 04 04:19:45 GMT 2022","742","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"failed","Tue Jan 04 04:19:45 GMT 2022","Tue Jan 04 04:19:46 GMT 2022","1073","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Tue Jan 04 04:20:35 GMT 2022","Tue Jan 04 04:20:36 GMT 2022","970","","SEO Friendly","","","","Have only one h1 element",""
