"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 13 11:06:33 GMT 2021","Mon Dec 13 11:06:34 GMT 2021","669","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"passed","Mon Dec 13 11:06:36 GMT 2021","Mon Dec 13 11:06:37 GMT 2021","1037","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"passed","Mon Dec 13 11:07:29 GMT 2021","Mon Dec 13 11:08:53 GMT 2021","84107","","Link valid and working","","","","Links are valid and working",""
"passed","Mon Dec 13 11:06:34 GMT 2021","Mon Dec 13 11:06:35 GMT 2021","710","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Mon Dec 13 11:07:22 GMT 2021","Mon Dec 13 11:07:23 GMT 2021","606","","SEO Friendly","","","","Have at least 2 H2 elements",""
"passed","Mon Dec 13 11:06:32 GMT 2021","Mon Dec 13 11:06:32 GMT 2021","680","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
"passed","Mon Dec 13 11:06:32 GMT 2021","Mon Dec 13 11:06:33 GMT 2021","677","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"passed","Mon Dec 13 11:07:25 GMT 2021","Mon Dec 13 11:07:26 GMT 2021","374","","SEO Friendly","","","","HTML has a lang attribute set",""
"passed","Mon Dec 13 11:07:23 GMT 2021","Mon Dec 13 11:07:24 GMT 2021","1062","","SEO Friendly","","","","All images have alt tags",""
"passed","Mon Dec 13 11:06:28 GMT 2021","Mon Dec 13 11:06:32 GMT 2021","3315","","Menu on top","","","","Show the menu on top",""
"passed","Mon Dec 13 11:07:21 GMT 2021","Mon Dec 13 11:07:22 GMT 2021","1132","","SEO Friendly","","","","Have only one h1 element",""
"passed","Mon Dec 13 11:06:35 GMT 2021","Mon Dec 13 11:06:35 GMT 2021","725","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"passed","Mon Dec 13 11:06:41 GMT 2021","Mon Dec 13 11:07:12 GMT 2021","30492","","Performance with lighthouse","","","","Check the performance",""
"passed","Mon Dec 13 11:06:35 GMT 2021","Mon Dec 13 11:06:36 GMT 2021","617","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"passed","Mon Dec 13 11:07:25 GMT 2021","Mon Dec 13 11:07:25 GMT 2021","366","","SEO Friendly","","","","All canonicals are valid",""
"passed","Mon Dec 13 11:07:16 GMT 2021","Mon Dec 13 11:07:17 GMT 2021","1028","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"passed","Mon Dec 13 11:07:24 GMT 2021","Mon Dec 13 11:07:25 GMT 2021","563","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"passed","Mon Dec 13 11:07:17 GMT 2021","Mon Dec 13 11:07:17 GMT 2021","410","","Schema definition and robots.txt","","","","Have a robots.txt",""
"passed","Mon Dec 13 11:07:24 GMT 2021","Mon Dec 13 11:07:24 GMT 2021","430","","SEO Friendly","","","","Have one heading with a title and meta description",""
"passed","Mon Dec 13 11:06:37 GMT 2021","Mon Dec 13 11:06:38 GMT 2021","614","","Menu on top","","","","Show the submenu on eSports (example #8)",""
