"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 02 04:20:47 GMT 2022","Sun Jan 02 04:20:48 GMT 2022","517","","Schema definition and robots.txt","","","","Have a robots.txt",""
"passed","Sun Jan 02 04:22:18 GMT 2022","Sun Jan 02 04:22:19 GMT 2022","593","","SEO Friendly","","","","HTML has a lang attribute set",""
"passed","Sun Jan 02 04:20:01 GMT 2022","Sun Jan 02 04:20:02 GMT 2022","832","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"passed","Sun Jan 02 04:20:46 GMT 2022","Sun Jan 02 04:20:47 GMT 2022","1004","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"passed","Sun Jan 02 04:20:53 GMT 2022","Sun Jan 02 04:20:54 GMT 2022","521","","SEO Friendly","","","","Have at least 2 H2 elements",""
"passed","Sun Jan 02 04:22:16 GMT 2022","Sun Jan 02 04:22:17 GMT 2022","970","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"passed","Sun Jan 02 04:22:24 GMT 2022","Sun Jan 02 04:24:48 GMT 2022","144213","","Link valid and working","","","","Links are valid and working",""
"passed","Sun Jan 02 04:20:54 GMT 2022","Sun Jan 02 04:20:55 GMT 2022","1337","","SEO Friendly","","","","All images have alt tags",""
"failed","Sun Jan 02 04:19:57 GMT 2022","Sun Jan 02 04:19:58 GMT 2022","1132","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
"passed","Sun Jan 02 04:19:52 GMT 2022","Sun Jan 02 04:19:56 GMT 2022","4238","","Menu on top","","","","Show the menu on top",""
"passed","Sun Jan 02 04:19:59 GMT 2022","Sun Jan 02 04:20:00 GMT 2022","902","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"passed","Sun Jan 02 04:20:04 GMT 2022","Sun Jan 02 04:20:05 GMT 2022","901","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"passed","Sun Jan 02 04:20:52 GMT 2022","Sun Jan 02 04:20:53 GMT 2022","1109","","SEO Friendly","","","","Have only one h1 element",""
"failed","Sun Jan 02 04:20:00 GMT 2022","Sun Jan 02 04:20:01 GMT 2022","1281","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Sun Jan 02 04:20:09 GMT 2022","Sun Jan 02 04:20:41 GMT 2022","31908","","Performance with lighthouse","","","","Check the performance",""
"passed","Sun Jan 02 04:19:58 GMT 2022","Sun Jan 02 04:19:59 GMT 2022","917","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"passed","Sun Jan 02 04:22:17 GMT 2022","Sun Jan 02 04:22:18 GMT 2022","621","","SEO Friendly","","","","All canonicals are valid",""
"passed","Sun Jan 02 04:20:02 GMT 2022","Sun Jan 02 04:20:03 GMT 2022","884","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"passed","Sun Jan 02 04:20:03 GMT 2022","Sun Jan 02 04:20:04 GMT 2022","920","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"failed","Sun Jan 02 04:20:56 GMT 2022","Sun Jan 02 04:22:16 GMT 2022","80830","","SEO Friendly","","","","Have one heading with a title and meta description",""
