"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 08 04:17:38 GMT 2022","Tue Feb 08 04:18:10 GMT 2022","31776","","Performance with lighthouse","","","","Check the performance",""
"passed","Tue Feb 08 04:19:44 GMT 2022","Tue Feb 08 04:19:45 GMT 2022","777","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"failed","Tue Feb 08 04:17:24 GMT 2022","Tue Feb 08 04:17:25 GMT 2022","1179","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
"failed","Tue Feb 08 04:18:24 GMT 2022","Tue Feb 08 04:19:44 GMT 2022","80632","","SEO Friendly","","","","Have one heading with a title and meta description",""
"failed","Tue Feb 08 04:17:32 GMT 2022","Tue Feb 08 04:17:33 GMT 2022","1147","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"failed","Tue Feb 08 04:17:28 GMT 2022","Tue Feb 08 04:17:29 GMT 2022","1125","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Tue Feb 08 04:18:21 GMT 2022","Tue Feb 08 04:18:22 GMT 2022","909","","SEO Friendly","","","","Have only one h1 element",""
"failed","Tue Feb 08 04:17:31 GMT 2022","Tue Feb 08 04:17:32 GMT 2022","1049","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"passed","Tue Feb 08 04:18:16 GMT 2022","Tue Feb 08 04:18:16 GMT 2022","429","","Schema definition and robots.txt","","","","Have a robots.txt",""
"failed","Tue Feb 08 04:17:26 GMT 2022","Tue Feb 08 04:17:27 GMT 2022","1001","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"passed","Tue Feb 08 04:19:46 GMT 2022","Tue Feb 08 04:19:46 GMT 2022","524","","SEO Friendly","","","","HTML has a lang attribute set",""
"passed","Tue Feb 08 04:17:21 GMT 2022","Tue Feb 08 04:17:24 GMT 2022","2813","","Menu on top","","","","Show the menu on top",""
"passed","Tue Feb 08 04:18:22 GMT 2022","Tue Feb 08 04:18:22 GMT 2022","455","","SEO Friendly","","","","Have at least 2 H2 elements",""
"failed","Tue Feb 08 04:17:25 GMT 2022","Tue Feb 08 04:17:26 GMT 2022","1022","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"passed","Tue Feb 08 04:19:45 GMT 2022","Tue Feb 08 04:19:46 GMT 2022","439","","SEO Friendly","","","","All canonicals are valid",""
"failed","Tue Feb 08 04:17:30 GMT 2022","Tue Feb 08 04:17:31 GMT 2022","966","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"failed","Tue Feb 08 04:17:29 GMT 2022","Tue Feb 08 04:17:30 GMT 2022","1111","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"passed","Tue Feb 08 04:19:51 GMT 2022","Tue Feb 08 04:22:38 GMT 2022","166491","","Link valid and working","","","","Links are valid and working",""
"passed","Tue Feb 08 04:18:14 GMT 2022","Tue Feb 08 04:18:16 GMT 2022","1341","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"passed","Tue Feb 08 04:18:22 GMT 2022","Tue Feb 08 04:18:23 GMT 2022","1291","","SEO Friendly","","","","All images have alt tags",""
