"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 10 04:20:03 GMT 2022","Mon Jan 10 04:20:04 GMT 2022","1036","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"passed","Mon Jan 10 04:19:59 GMT 2022","Mon Jan 10 04:20:00 GMT 2022","721","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"passed","Mon Jan 10 04:20:56 GMT 2022","Mon Jan 10 04:20:56 GMT 2022","367","","SEO Friendly","","","","Have one heading with a title and meta description",""
"passed","Mon Jan 10 04:21:03 GMT 2022","Mon Jan 10 04:23:49 GMT 2022","166847","","Link valid and working","","","","Links are valid and working",""
"failed","Mon Jan 10 04:20:02 GMT 2022","Mon Jan 10 04:20:03 GMT 2022","1025","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"failed","Mon Jan 10 04:20:01 GMT 2022","Mon Jan 10 04:20:02 GMT 2022","1103","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"passed","Mon Jan 10 04:20:04 GMT 2022","Mon Jan 10 04:20:05 GMT 2022","676","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"failed","Mon Jan 10 04:20:00 GMT 2022","Mon Jan 10 04:20:01 GMT 2022","1123","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Mon Jan 10 04:20:53 GMT 2022","Mon Jan 10 04:20:53 GMT 2022","498","","SEO Friendly","","","","Have at least 2 H2 elements",""
"passed","Mon Jan 10 04:20:57 GMT 2022","Mon Jan 10 04:20:58 GMT 2022","867","","SEO Friendly","","","","All canonicals are valid",""
"failed","Mon Jan 10 04:19:57 GMT 2022","Mon Jan 10 04:19:58 GMT 2022","1305","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
"passed","Mon Jan 10 04:20:09 GMT 2022","Mon Jan 10 04:20:42 GMT 2022","32450","","Performance with lighthouse","","","","Check the performance",""
"passed","Mon Jan 10 04:20:54 GMT 2022","Mon Jan 10 04:20:55 GMT 2022","1380","","SEO Friendly","","","","All images have alt tags",""
"passed","Mon Jan 10 04:20:46 GMT 2022","Mon Jan 10 04:20:47 GMT 2022","898","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"passed","Mon Jan 10 04:20:47 GMT 2022","Mon Jan 10 04:20:48 GMT 2022","485","","Schema definition and robots.txt","","","","Have a robots.txt",""
"passed","Mon Jan 10 04:20:52 GMT 2022","Mon Jan 10 04:20:53 GMT 2022","939","","SEO Friendly","","","","Have only one h1 element",""
"failed","Mon Jan 10 04:19:51 GMT 2022","Mon Jan 10 04:19:57 GMT 2022","5572","","Menu on top","","","","Show the menu on top",""
"passed","Mon Jan 10 04:20:58 GMT 2022","Mon Jan 10 04:20:59 GMT 2022","505","","SEO Friendly","","","","HTML has a lang attribute set",""
"failed","Mon Jan 10 04:19:58 GMT 2022","Mon Jan 10 04:19:59 GMT 2022","981","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"passed","Mon Jan 10 04:20:56 GMT 2022","Mon Jan 10 04:20:57 GMT 2022","622","","SEO Friendly","","","","Content is divided by multiple subheadings",""
