"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 15 04:19:28 GMT 2022","Sat Jan 15 04:19:28 GMT 2022","576","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"passed","Sat Jan 15 04:20:13 GMT 2022","Sat Jan 15 04:20:13 GMT 2022","375","","SEO Friendly","","","","HTML has a lang attribute set",""
"passed","Sat Jan 15 04:20:03 GMT 2022","Sat Jan 15 04:20:05 GMT 2022","1870","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"passed","Sat Jan 15 04:20:12 GMT 2022","Sat Jan 15 04:20:12 GMT 2022","378","","SEO Friendly","","","","All canonicals are valid",""
"passed","Sat Jan 15 04:20:11 GMT 2022","Sat Jan 15 04:20:12 GMT 2022","316","","SEO Friendly","","","","Have one heading with a title and meta description",""
"passed","Sat Jan 15 04:20:05 GMT 2022","Sat Jan 15 04:20:05 GMT 2022","396","","Schema definition and robots.txt","","","","Have a robots.txt",""
"passed","Sat Jan 15 04:20:10 GMT 2022","Sat Jan 15 04:20:10 GMT 2022","417","","SEO Friendly","","","","Have at least 2 H2 elements",""
"passed","Sat Jan 15 04:19:27 GMT 2022","Sat Jan 15 04:19:27 GMT 2022","620","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"passed","Sat Jan 15 04:19:27 GMT 2022","Sat Jan 15 04:19:28 GMT 2022","573","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"passed","Sat Jan 15 04:20:12 GMT 2022","Sat Jan 15 04:20:12 GMT 2022","407","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"passed","Sat Jan 15 04:19:25 GMT 2022","Sat Jan 15 04:19:25 GMT 2022","616","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"passed","Sat Jan 15 04:19:26 GMT 2022","Sat Jan 15 04:19:27 GMT 2022","638","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"passed","Sat Jan 15 04:19:21 GMT 2022","Sat Jan 15 04:19:23 GMT 2022","2378","","Menu on top","","","","Show the menu on top",""
"passed","Sat Jan 15 04:19:25 GMT 2022","Sat Jan 15 04:19:26 GMT 2022","723","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Sat Jan 15 04:20:09 GMT 2022","Sat Jan 15 04:20:10 GMT 2022","726","","SEO Friendly","","","","Have only one h1 element",""
"passed","Sat Jan 15 04:19:32 GMT 2022","Sat Jan 15 04:19:59 GMT 2022","26607","","Performance with lighthouse","","","","Check the performance",""
"passed","Sat Jan 15 04:19:24 GMT 2022","Sat Jan 15 04:19:25 GMT 2022","643","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"passed","Sat Jan 15 04:20:10 GMT 2022","Sat Jan 15 04:20:11 GMT 2022","1027","","SEO Friendly","","","","All images have alt tags",""
"passed","Sat Jan 15 04:20:17 GMT 2022","Sat Jan 15 04:21:39 GMT 2022","81875","","Link valid and working","","","","Links are valid and working",""
"passed","Sat Jan 15 04:19:23 GMT 2022","Sat Jan 15 04:19:24 GMT 2022","800","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
