"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 01 04:17:35 GMT 2022","Tue Feb 01 04:17:36 GMT 2022","875","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"passed","Tue Feb 01 04:18:14 GMT 2022","Tue Feb 01 04:18:14 GMT 2022","655","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"passed","Tue Feb 01 04:19:42 GMT 2022","Tue Feb 01 04:19:43 GMT 2022","450","","SEO Friendly","","","","All canonicals are valid",""
"failed","Tue Feb 01 04:17:31 GMT 2022","Tue Feb 01 04:17:31 GMT 2022","789","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"failed","Tue Feb 01 04:17:28 GMT 2022","Tue Feb 01 04:17:29 GMT 2022","1313","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
"passed","Tue Feb 01 04:19:43 GMT 2022","Tue Feb 01 04:19:43 GMT 2022","378","","SEO Friendly","","","","HTML has a lang attribute set",""
"failed","Tue Feb 01 04:17:32 GMT 2022","Tue Feb 01 04:17:33 GMT 2022","890","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"failed","Tue Feb 01 04:17:34 GMT 2022","Tue Feb 01 04:17:35 GMT 2022","869","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"failed","Tue Feb 01 04:17:30 GMT 2022","Tue Feb 01 04:17:30 GMT 2022","878","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"failed","Tue Feb 01 04:17:31 GMT 2022","Tue Feb 01 04:17:32 GMT 2022","925","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Tue Feb 01 04:17:26 GMT 2022","Tue Feb 01 04:17:28 GMT 2022","2160","","Menu on top","","","","Show the menu on top",""
"passed","Tue Feb 01 04:19:42 GMT 2022","Tue Feb 01 04:19:42 GMT 2022","643","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"passed","Tue Feb 01 04:18:19 GMT 2022","Tue Feb 01 04:18:19 GMT 2022","682","","SEO Friendly","","","","Have only one h1 element",""
"failed","Tue Feb 01 04:17:33 GMT 2022","Tue Feb 01 04:17:34 GMT 2022","838","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"passed","Tue Feb 01 04:18:14 GMT 2022","Tue Feb 01 04:18:15 GMT 2022","1030","","Schema definition and robots.txt","","","","Have a robots.txt",""
"failed","Tue Feb 01 04:18:21 GMT 2022","Tue Feb 01 04:19:42 GMT 2022","80507","","SEO Friendly","","","","Have one heading with a title and meta description",""
"passed","Tue Feb 01 04:18:20 GMT 2022","Tue Feb 01 04:18:21 GMT 2022","994","","SEO Friendly","","","","All images have alt tags",""
"passed","Tue Feb 01 04:18:19 GMT 2022","Tue Feb 01 04:18:20 GMT 2022","464","","SEO Friendly","","","","Have at least 2 H2 elements",""
"passed","Tue Feb 01 04:19:48 GMT 2022","Tue Feb 01 04:21:07 GMT 2022","78943","","Link valid and working","","","","Links are valid and working",""
"passed","Tue Feb 01 04:17:39 GMT 2022","Tue Feb 01 04:18:10 GMT 2022","30435","","Performance with lighthouse","","","","Check the performance",""
