"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 06 04:17:54 GMT 2022","Sun Feb 06 04:17:55 GMT 2022","873","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"passed","Sun Feb 06 04:18:42 GMT 2022","Sun Feb 06 04:18:43 GMT 2022","384","","SEO Friendly","","","","Have at least 2 H2 elements",""
"failed","Sun Feb 06 04:18:44 GMT 2022","Sun Feb 06 04:20:04 GMT 2022","80482","","SEO Friendly","","","","Have one heading with a title and meta description",""
"failed","Sun Feb 06 04:17:59 GMT 2022","Sun Feb 06 04:18:00 GMT 2022","1120","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"passed","Sun Feb 06 04:20:10 GMT 2022","Sun Feb 06 04:22:38 GMT 2022","147375","","Link valid and working","","","","Links are valid and working",""
"failed","Sun Feb 06 04:17:52 GMT 2022","Sun Feb 06 04:17:53 GMT 2022","1297","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
"passed","Sun Feb 06 04:18:41 GMT 2022","Sun Feb 06 04:18:42 GMT 2022","855","","SEO Friendly","","","","Have only one h1 element",""
"passed","Sun Feb 06 04:18:37 GMT 2022","Sun Feb 06 04:18:38 GMT 2022","345","","Schema definition and robots.txt","","","","Have a robots.txt",""
"failed","Sun Feb 06 04:17:57 GMT 2022","Sun Feb 06 04:17:58 GMT 2022","984","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"passed","Sun Feb 06 04:20:06 GMT 2022","Sun Feb 06 04:20:06 GMT 2022","323","","SEO Friendly","","","","HTML has a lang attribute set",""
"passed","Sun Feb 06 04:20:05 GMT 2022","Sun Feb 06 04:20:06 GMT 2022","510","","SEO Friendly","","","","All canonicals are valid",""
"passed","Sun Feb 06 04:17:49 GMT 2022","Sun Feb 06 04:17:51 GMT 2022","2856","","Menu on top","","","","Show the menu on top",""
"passed","Sun Feb 06 04:18:36 GMT 2022","Sun Feb 06 04:18:37 GMT 2022","876","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"failed","Sun Feb 06 04:17:53 GMT 2022","Sun Feb 06 04:17:54 GMT 2022","870","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"failed","Sun Feb 06 04:17:55 GMT 2022","Sun Feb 06 04:17:56 GMT 2022","901","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"failed","Sun Feb 06 04:17:58 GMT 2022","Sun Feb 06 04:17:59 GMT 2022","1032","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"passed","Sun Feb 06 04:20:04 GMT 2022","Sun Feb 06 04:20:05 GMT 2022","603","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"passed","Sun Feb 06 04:18:43 GMT 2022","Sun Feb 06 04:18:44 GMT 2022","1118","","SEO Friendly","","","","All images have alt tags",""
"failed","Sun Feb 06 04:17:56 GMT 2022","Sun Feb 06 04:17:57 GMT 2022","843","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"passed","Sun Feb 06 04:18:04 GMT 2022","Sun Feb 06 04:18:33 GMT 2022","28629","","Performance with lighthouse","","","","Check the performance",""
